UCP	Pete Guthrie	Airdrie-Cochrane	M	Pete Guthrie was elected as the member of the Legislative Assembly for Airdrie-Cochrane on April 16, 2019. On October 24, 2022, he was sworn in as the Minister of Energy.Prior to his service with the Legislative Assembly, Mr. Guthrie was a private business owner in the ranching and retail industries for close to 20 years. A professional engineer by trade, he worked for several years in the chemical and manufacturing industries before becoming an entrepreneur. He holds a Bachelor of Science degree in Chemical Engineering from the University of Alberta.Mr. Guthrie is a passionate advocate for Canadian Military Forces Members and Veterans and an active supporter of civil societies organizations in his community. He works hard to promote small businesses and their community contributions.Mr. Guthrie lives in Cochrane with his wife and two children.
UCP	Angela Pitt	Airdrie-East	F	Angela Pitt was born and raised in Airdrie and is passionate about her community. Angela is a tireless advocate with conservative values and a compassionate heart who represents her constituents with great honour. Angela doesn’t back down from what is right and strives every day to make Airdrie, and all of Alberta, an amazing place to live, work and raise a family in. Angela is an entrepreneur with a background in marketing. She previously used her skills to grow her local events and marketing business. The mother of two school-age children, Angela is well known throughout her community for her years of volunteering and involvement. She has long been interested in politics and served as president of a local constituency association before being elected in 2015. Angela currently serves as deputy speaker and chair of committees. She also serves as the Alberta chair for the Commonwealth Women Parliamentarians. She previously served as a member on the Standing Committee on Members’ Services, the Standing Committee on Legislative Offices and the Standing Committee on Privileges and Elections, Standing Orders and Printing. She was previously a member of the Select Special Ombudsman and Public Interest Commissioner Search Committee and the Standing Committee on Families and Communities, and she served as Shadow Minister of Justice.
UCP	Glenn van Dijken	Athabasca-Barrhead-Westlock	M	Glenn van Dijken was re-elected to his second term at the Legislative Assembly of Alberta on April 16, 2019. He represents the constituency of Athabasca-Barrhead-Westlock (previously he represented the constituency of Barrhead-Morinville-Westlock).Prior to his election to the Legislative Assembly in 2015, Mr. van Dijken operated his family’s grain farm in Dapp, Alberta. He and his spouse, Barb, were named Outstanding Young Farmers of Alberta in 2001. He served as co-chair of the program from 2009 to 2010.
UCP	Tyler Shandro	Calgary-Acadia	M	A husband and father to two young children, Tyler has been an active member of his community for years. Previously serving as a member of the National Parole Board, the Municipal Government Board, the Criminal Injuries Review Board, the University of Calgary Senate, the Calgary Parking Authority, and the Calgary Police Commission.He’s running because he believes in supporting job creating businesses, bringing investment to Calgary, and securing a fair deal for Alberta.
UCP	Miranda Rosin	Banff-Kananaskis	F	Miranda Rosin’s background is in management and business development, and like many Albertans, she has deep family roots in small business and agriculture. Miranda is internationally educated, holding her Bachelor of Business Administration from the University of Regina and Shanghai Lixin University of Commerce in addition to a Certificate in Energy Policy Planning from the University of Idaho. Miranda serves as an active volunteer in her church community, coaches the University of Calgary’s Haskayne School of Business national case competition team, and enjoys hiking and downhill skiing in her limited spare time.Miranda Rosin is running for re-election, and hopes to earn your vote.
UCP	Scott Cyr	Bonnyville-Cold Lake-St. Paul	M	Scott Cyr has called northern Alberta home all of his life, learning the importance of hard work from his parents who worked as a mechanic and a bookkeeper. A graduate of the University of Lethbridge, Scott received his Bachelor’s Degree in Management with a double major in accounting and finance from the University of Lethbridge.It was during his studies he met his wife, Megan, and the pair settled in Cold Lake and started an accounting practice from the ground up. Scott led with integrity and professionalism and saw the firm grow from one of the smallest firms within the City of Cold Lake to one of the larger firms within the Lakeland region.On May 5, 2015 Scott was elected as Member of the Legislative Assembly (MLA) for Bonnyville – Cold Lake where he served in various roles holding the government accountable, and was able to bring forward legislation that protects victims of non-consensual distribution of intimate images.At the end of his term, Scott stepped back to spend more time with his daughters, Amelia and Charlotte, and has served as a Senior Accounting Manager since.Though he stepped back, Scott has remained engaged in discussions with community members and has seen a real desire across Alberta to see a change. He is ready to ensure that local voices are championed and Albertans are put first, which is why he is running again to be the candidate for Bonnyville – Cold Lake – St. Paul.
UCP	Josephine Pon	Calgary-Beddington	F	Josephine Pon was elected to the Legislative Assembly of Alberta on April 16, 2019 as the MLA for Calgary-Beddington, and was appointed as Alberta’s Minister of Seniors and Housing on April 30, 2019.Pon has a wealth of work experience in banking. For more than 20 years, she has worked with three major chartered banks – HSBC, Royal Bank and Scotiabank. Her appointment with these banks includes experience in Personal/Commercial Banking and her last appointment was the Regional Manager, Business Development responsible for Multicultural Banking and working with over 3,000 staff in the Prairie Region for Scotiabank. During her career in the banking industry, she also worked at Canada Mortgage and Housing Corporation (CMHC), a crown corporation in mortgage insurance, as an International Trade Consultant and in the Assisted Housing department for the Prairie Region.Prior to being elected as MLA and her appointment as Minister, she was the Vice President of the Taste of Asia Group in Calgary; this executive role provided her the opportunity to enhance her corporate business experience, providing her hands-on insight into the current economic downturn situation in Alberta and the challenges faced by people in this province, including business owners, restaurant employees and grassroots Albertans.Pon has been active in volunteering with numerous non-profit organizations in Calgary and Edmonton throughout her life. She was a member of the working group on the Edmonton Mayor’s Task Force to Eliminate Poverty, the Board Chair of Immigrant Services Calgary (ISC), Chair of the Immigrants of Distinction Awards Gala, Vice President of the Hong Kong Canada Business Association and Cultural Advisor for the Glenbow Museum.Pon holds a Master of Science degree in Management from the University of Liverpool, United Kingdom.
UCP	Demetrios Nicolaides	Calgary-Bow	M	Demetrios Nicolaides has served as Alberta’s Minister of Advanced Education and MLA for Calgary-Bow since 2019.Demetrios earned his PhD in Political Science and prior to politics, was with a communication consulting firm, helping leaders communicate more effectively.Demetrios is a born and raised Calgarian and lives in West Springs with his wife and two daughters.
UCP	Danielle Smith	Brooks-Medicine Hat	M	Premier Danielle Smith is a proud Albertan. As Leader of the governing United Conservative Party, she was sworn in as the nineteenth Premier of Alberta in October 2022, and represents the riding of Brooks-Medicine Hat in the Legislative Assembly.Premier Smith has had a lifelong interest in Alberta public policy and finding the right balance between free enterprise and individual freedom, and the role of government. She was previously MLA for Highwood and leader of the Official Opposition.Before re-entering politics, Premier Smith worked extensively in the media and in business, most recently as President of the Alberta Enterprise Group. Before that she was a radio host with Corus Entertainment for 6 years.Premier Smith holds degrees in both Economics and English from the University of Calgary. She is married to David and proud stepmom to his son. Premier Smith and her husband own and operate a restaurant. They live in High River with their two dogs.
UCP	Astrid Kuhn	Calgary-Buffalo	F	Astrid Kuhn is a proud Albertan is Calgary-Buffalo’s candidate for the May 2023 election.Dr. Astrid Kuhn is a sessional lecturer at Mount Royal University (MRU), where she grows entrepreneurial minds in the faculty of business and communication. Kuhn designs and delivers courses to facilitate collaborative and creative problem solving towards innovative solutions. As an entrepreneur and business consultant, she’s experienced first hand the challenges and rewards that entrepreneurial thinkers face and knows the importance of minimal government intervention. As a former anchor/reporter at Global News and CBC Radio Canada, she stresses the need for clearly and concisely communicating community needs.
UCP	Amanpreet Singh Gill	Calgary Bhullar-McCall	M	Amanpreet Singh Gill was born in Moga, Punjab, India in 1976. Amanpreet was born into a hard-working family of Farmers. In addition to Farming, Amanpreet’s Father and Grandmother were local politicians, which gave Amanpreet his first taste of Public Office. Amanpreet, along with his brother and Parents came to Canada in 1994 at the age of 18. His first job was at a local restaurant washing dishes, and then working at various factories in the Calgary SE Industrial Area. While he worked, he went to school to advance his education. Amanpreet made a transition into the Trucking industry which led to a successful career as a small business owner. Through the years he made the shift into the home and commercial building industry owning his own successful Excavating Company.I feel I have the right voice and values to represent the residents of Calgary-Bhullar-McCall. Our community is growing at a fast pace and requires a voice which shares the concerns of residents and businesses and also thinks outside the box to find solutions to support our residents.
UCP	Mickey Amery	Calgary-Cross	M	Mickey Amery was elected as the Member of the Legislative Assembly for the constituency of Calgary-Cross on April 16, 2019.Prior to serving with the Legislative Assembly, Mr. Amery was a practicing lawyer and business owner in Calgary. He has worked on a number of cases of national significance in the areas of aboriginal law and consumer protection.Mickey holds a bachelor’s degree in political science, a bachelor’s degree in economics and a Juris Doctorate degree in law.Active in his community, he served as a director for the Learning Disability Association of Alberta and as member on various local community boards and organizations.Mickey and his wife have two sons and a daughter. He was the 913th Member to be sworn in to the Legislative Assembly of Alberta.
UCP	Nicholas Milliken	Calgary-Currie	M	Nicholas Milliken is seeking re-election to continue to support and advocate for our community.After the Provincial election in 2019, Nicholas was sworn is as both MLA and as the Deputy Chair of Committees, in a vote by all MLAs. In this role, Nicholas often sat as the acting Speaker of the Legislative Assembly. In 2022 Nicholas was sworn in as Alberta’s Minister of Infrastructure. After moving that portfolio forward, Nicholas was then elevated to Minister of Mental Health and Addiction. Nicholas is a husband, a father, a lawyer, a business owner and a 4th generation Albertan. Prior to public life, Nicholas also volunteered locally and actively supported local Calgary-based charities.Nicholas Milliken and his wife Christine are proud parents to their son Eric and daughter Lauren. Prior to becoming a lawyer and a business owner, Nicholas received a B.A. in Economics, and a B.Com., with distinction, both from the University of Alberta. He then received a law degree from the University of Saskatchewan. After working for an international law firm as a commercial litigator, he started a recruitment company in Calgary-Currie and scaled it up to do business across Canada. 2019 was Nicholas’ first time in public office.
